id_pdc_itinerance,etat_pdc,occupation_pdc,horodatage,etat_prise_type_2,etat_prise_type_combo_ccs,etat_prise_type_chademo,etat_prise_type_ef
FRALLEGO8003341,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO8003362,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO8001872,en_service,libre,2025-06-06T16:45:01Z,,,,
FRALLEGO0001461,inconnu,inconnu,2025-04-01T20:44:20Z,,,,
FRALLEGO9004132,en_service,libre,2025-06-06T16:42:49Z,,,,
FRALLEGO9004131,en_service,occupe,2025-06-06T16:43:04Z,,,,
FRALLEGO9004032,en_service,occupe,2025-06-06T16:54:44Z,,,,
FRALLEGO9004031,en_service,libre,2025-06-06T16:39:32Z,,,,
FRALLEGO9005221,en_service,occupe,2025-06-06T16:41:26Z,,,,
FRALLEGO9005222,en_service,libre,2025-06-06T15:16:12Z,,,,
FRALLEGO9005232,en_service,libre,2025-06-06T15:55:17Z,,,,
FRALLEGO9005231,en_service,occupe,2025-06-06T16:31:01Z,,,,
FRALLEGO9004221,en_service,occupe,2025-06-06T16:51:28Z,,,,
FRALLEGO9004222,en_service,libre,2025-06-06T16:44:07Z,,,,
FRALLEGO9004051,en_service,libre,2025-06-06T16:13:28Z,,,,
FRALLEGO9004052,en_service,occupe,2025-06-06T16:45:16Z,,,,
FRALLEGO9005261,en_service,occupe,2025-06-06T16:47:11Z,,,,
FRALLEGO9005262,en_service,libre,2025-06-06T16:11:57Z,,,,
FRALLEGO9005211,en_service,libre,2025-06-06T15:12:09Z,,,,
FRALLEGO9005212,en_service,occupe,2025-06-06T16:12:06Z,,,,
FRALLEGO0001511,en_service,libre,2025-04-01T20:48:15Z,,,,
FRALLEGO9004122,en_service,occupe,2025-06-06T16:50:16Z,,,,
FRALLEGO9004121,en_service,libre,2025-06-06T15:30:55Z,,,,
FRALLEGO9990402,en_service,libre,2025-06-06T16:58:38Z,,,,
FRALLEGO9990392,en_service,occupe,2025-06-06T13:42:30Z,,,,
FRALLEGO9990391,en_service,occupe,2025-06-06T16:52:59Z,,,,
FRALLEGO9990401,en_service,occupe,2025-06-06T16:19:32Z,,,,
FRALLEGO0020911,en_service,libre,2025-06-06T12:28:29Z,,,,
FRALLEGO0020912,en_service,libre,2025-06-06T16:45:59Z,,,,
FRALLEGO0020921,en_service,occupe,2025-06-06T16:42:21Z,,,,
FRALLEGO0020922,en_service,libre,2025-06-06T16:26:19Z,,,,
FRALLEGO0020282,en_service,libre,2025-06-06T16:28:47Z,,,,
FRALLEGO0020281,en_service,libre,2025-06-06T15:10:25Z,,,,
FRALLEGO8001481,en_service,libre,2025-06-05T19:05:07Z,,,,
FRALLEGO8001482,en_service,occupe,2025-06-06T16:31:37Z,,,,
